ha ek hm kr chke uski o(2^n) thi jb hmne dekha to mza hi aa gye thi,🤭 tle aaya ta ky
fir lga hm chutiya hai psit me hai IIT me ni hai submit hi ni kre,oh Bhai kal lab kon kon si h
Ppl hai sayd Aaj,Ok
Any progress??,Nope
Okk commander!,🤭
🤓,👍🤘🏻 https://ide.geeksforgeeks.org/SAxZzkfPQE ye dakho and galti batao wa aa rha h bhai
Bhai output to sahi hai,ha vahi to
Jra dekhte hai,ok
Sone to ni ja the?,nopes
*rhe Okk,"2,3 tk"
Coola Cool,😁
Kuchh smjh me aya?,Loop me nhi...
#include<bits/stdc++.h> dekho isme kya glt hai q.2 hai ye #include<bits/stdc++.h> ye hai new code ho gya ye wala itna raddi question no.2 pr ni hona chahiye,Vo share chat install kr lega uski condition include nhi ki h... Chek kro fr se condition 1 cond to sahi h.. Ho gy?
ha,Ok
Kra koi aur question,Na.. gum rhe h.. 😁
Bdiya hai Mtlb 1000 rank hi loge.,😅 ha
Ye kaha ki hai,Saam ko try krte h
Okk,Gumm rhe h na.. vahi ki
Achha Mujhe lga koi bahut famous place hogi Aaj hme neend bahut arhi hai,🤭
Din bhr soya hu Abhi bhi neend a rhi hai,And valla try kro Hoy to batana 30 % hi krlo
Ha ha teen baar se jyada baar submit kr chuke hai,Hmne kiya ta.. but hua nhi 🤭 use pucho.. kutch or to nhi krna na..
Kise?,Subarry hi nikalna h.. and then and Tripathi se
Tripathi se 30% hua hai sayd,Ha.. use pucho kya kiya h.. then try kro
Ha puchhte hai,Hoy to batana
Ye dekho🤣🤣 Mere to naukri lg gyi,😅 🤭 kitna package
"50,000k Likh hai per month",👉👍 kr lo.. acha de rhe h 😂
🤣🤣 Lot lot ke hs le phle Fir apply krte hai,🤭😀 Shukla ko bejdo
Tumhe bhi bhezte hai,Hack kr rha h koi tunhe
Pta ni. Advertisement company hai Jo mail bombing krte hai,Shukla to nhi
Ku ki usme form hai to Google ko lg rha info steal wala ho skta hai,Oh
Isme ek kami hai Bhai.. Fir se ek baar code pdna,Ok.. dakhta .. hu Gr pahuch kr
okk Greay It's an anagram,🤔
great. likha hai code dekha hmne error report kri thi,Ha ja rhe bass
okk #include <bits/stdc++.h> ye hmara code dekh lena,Kya
first loop dhyan se pdna pta chl jaye ga int ary[100] wali line ko end kr do. wo dhyan ni diya.,geeksforgeeks me bejo error hatta kr link
ide use ni krte bhai hm GCC compilor use krte hai,oh
bhai ide kaha mile gi c++ ki,https://ide.geeksforgeeks.org/index.php https://www.youtube.com/watch?v=YpkJO_GrCo0
https://ide.geeksforgeeks.org/1VoYURB8Sl ye lo... code ga codeofgeeks version. 🤣🤣,ye challa code chef bhai se output h mere me bi https://ide.geeksforgeeks.org/SAxZzkfPQE
tumne code ni dekha apna dhyan se,? dakha but nhi dikh rha kutch bi
apna code i=1 se i=l se chlao. sahi ho jaye ga,l?
l mtlb left tum hr baar apna loop 1 suru kr rhe ho mtlb given range ka kya mtlb hua?,"for(i=1;i<=(b-aa+1);i++) // use for size of subset like i=1>1,2,3 ||i=2> 12,23 || i=3>123 line 26 cin>>aa>>b;"
agr mano,yap?
if query me 2-3 likha hai tb.,"3-2+! 3+2+1 3-2+1=2 max length =2 i=1,2 2,3, 23 for(j=aa-1;j<b;j++) //it select elemnt from array line 28"
achha,tumhara valla chala chef pe
nops.,pucho use mujhe lagg rha h ye nhi krna h kutch or to nhi nilna h?
usase puchhe kya? bhai puchhna hme achha ni lgta hai.,yes 🤭 puch lo yr english nhi achi h to kya kroge question hi nhi smj aa rhe h😓 ye and table game kya boll rha h
1234 pr jra test kro apna code 1_4 query de ke Btao kitne pairs a rhe hai,1--1 ?
Ha sahi hai Same output hmara a rha hai,bhai quest smjhne me koi gadbadi h
Table game me Graph ka use ni hoga,quesn me jo test case diya h ... vo smaj nhi aa rha
Free ho phone kru?,bhai soo ja rha ta tum cpy pe likh do ... hm dak lege kal
Okk,fr kal call krte h
Jao so jao,hm takk gy gumne me
okk,Bas count krne h.. perfect sqr
Tum jb free hona call kr lena Hm itna likh ni paye ge,Ok Soo gy ky?
Aishe tree kon sa bnta hai Kisi bhi node ka sirf ek parent hota hai,Vahi nhi smj aa rha 🤭 But ise answer aa rha h Ha but hmm us node ke nicue tk hi store kr rhe h.. and + uska count
Achha,Dakho.. fr hm call krte h 8:10 pe Smjo tb to
Okk Test case ka,Ok chall gy 30% table game
Bhai jra code bhezo Any update,Ak case nhi chall rha Vahi to tum bata rhe te
Ha nishad ke sath bhi wahi ho rha hai Code doc bhezo Bhai smjh ni arha,Matlb Pic nhi smj aa rhi
Are nlen kiski lenth hai Bhai copy ni kre ge Ya fir hm apna code de de,https://ide.geeksforgeeks.org/ngmZe1gU9c
To tum Meri metrix bna ke bhez do,hua
Ni,kyo
Age kuchh hua?,na dakh he ushi ko ha And valla hua? // Example program isme toda koi condition galt ho rhi h dakho
Ye hm bhi try kre the Dekho hmne code bheza tha messenger pr,Chall nhi ky
Mera phone switch off ho gya tha Pta ni Kya hua hai charge bahut slow ho rha hai,Oh Check krva lo.. Ab nhi kr rhe bhai AND valla challa nhi ky?
Uper code me s[0]= ChartoInt(n[0]-'0') ku kra hai Waise isme sirf ek case me tle a rha hai Kya?,Bhsi mera nhi chall rha Mera to wa Ab ct ka pad lo ... 🤣
Ha dekhte hai #include<bits/stdc++.h> isme dekho kya issue hai.. Ye hmne phle bheza tha Wo hai,🤣 same hi h Dono ka
Hme ye smjh ni arha jb a bda hoga to Kon si array se uthana hai Aur jb b bda hoga tb Kon si array se,Kal krte h college me
Ha So gye ho?,Ha
Bhai jg rhe ho to discuss krte hai and segment Hm sahi kr rhe Hai Hmne pattern bhi print kr ke dekh liya hai Aur answer sahi arha hai ab to kuchh chhod bhi ni rhe hai fir answer wrong hi aye ja rha hai #include <bits/stdc++.h> ye code hai check kr lena if subh time se uth jana agr koi error mile to btana Jb jgna to Ye code machine me rn kr lena Dekho sayd tumhe koi error figure out ho to jaye,Db padlo In question ko krte rahege...
bhai aaj last day hai aur ye question last me pahuch gya hai.,Are tik h ab..
5se ht ke 8 pr is liye hmse kuchh aur ni hoga agr hm ise 30% tk ni kr paye.,400 kam todi h
kl rrat me neend ni arhi thi,😅 Ha to badd me krte rahege..
Bhai baat km ya jyada ki ni hai Is question ko to bol rhe the ho hi Jaye ga Kl phla paper kiska hai?,Syd cyber ka h pahile Ha cyber hi h Kya hua..aa kehe ne rhe
Fever chl rha hai abhi,Sahi nhi hua ky
Abhi theek hai,Ml kr rhe ho?
Na java aur sql query kr rhe kevl hm Mere ankhe khul gye hai,🤣 Bhai jo hackathon ho rhi h.. usme lo Kissi me
Kaha ho rhe hackathon?,Codedhf
Codechef pr?,Yap
Dekhta hu,Ok
Usme smack down me le rkha hai,Check it out
Theek hai dekhte hai,Tripathi ke saat?
Ha,Aa rhe aaj?
Ha Tum ni aa rhe kya?,Ha rhe Ha aa rhe h
Aaj koi a hi ni rha hai Tripathi bhi ni aarha,Are.. Hm to nikal gy
Hm bhi niklne wale hai,Ok 👍
🤓,gsoc ke liye karo
Ha kru ga Abhi thode der me,ok
Tumne kr Diya?,ha hm pahile kr chuke h reg to feb me hoge
To abhi kya kre?,bhai aane vale feb me practice krni padti h uski batt kr rhe h
Achha Kro,ha
To abhi kya kre Mtlb ho to get started,😓 practice
*how I know practice ..,bhai koi open source target krke
Okk,uspe conti karte h This message was deleted contri*
Ye pta hai,kiya h?
Ni bhai agr contribute kre hote to kitna bdiya hota,ha to krte h
Ha chlo krte hai,ok ?
Ha,jag gy todi der me call krte h
Neend hi ni aa rhi Okk,ok
bhai android ki rom bnane me kuchh mile ga,"bhai rom... not sure , but think that they are not a part of last time gsoc"
ha aaj abhi ek rom port kri to yad a gye 11 - 12 ki yahi kra krte the ise liye bola,then... it would be difficut to understand.. gosc
ha,ohk.. good 👉🤘
have you got any clue where to start with?,"yah,"
so what are the options,i read some article of net on*
i would love to know thats great,some of then just target python based small scale projects wait a min ... i will send u link
okk,https://www.quora.com/How-do-I-prepare-for-the-Google-Summer-of-Code-GSoC sumry... only continuty matters ... in this 2-3 month continous continty The key to getting selected for a project is NOT your skill-set but your interest in the project
okk that is where i feel confident,start krte h...
okk,koi ak decide kr lo
okk,i feel more comfort in python... else is also ok
okk i can handle any except java..,😅
that is real hell...,https://summerofcode.withgoogle.com/organizations/?sp-search=python
people say go to the hell.,check this list out
"I say start learning java that makes me great, dont you think so?",ya.. sure!
🤣,👉 https://summerofcode.withgoogle.com/organizations/5166394929315840/ and... dont dicuss it in public 😅
ya I know.,if u found somethink instr ... msg me link
matrix.org,ya nice... bot are awsm but there most working api are in android...
abhi pdte hai dhyaan se,android
bhai good project jaha learning achhi ho aur interesting ho wo kre ge just for GSOC or for experience ni kre ge.,ya both
ok thoda aur research kr lo.,if u get selected in gsoc .... get soo much famee...
"wow. that is the part of process, i do not imagin future now.",ok.. take sufficient time for deciding
Sure,and then start doing 🤘 ok...  2 days is suff?
coz i have paid alot in just predicting my future. ya that is more then enough. but do not tell it to Shivam shukla. you can tell this to tripathi,🤭 ok..
but not to shukla I will tell none.,same! ok... make our discusion into action!! 😎
okk see you tommorrow.,🤘 Kitne kiye
Dusra kr rha Abhi tk submit ni kra hai 1&2 ho gye hai,Rnk nhi kaam hoti Paresn mt ho.. ak rank me bahut logg hote h
Ha Hm presan ni hote,Hm bi yahi kr rhe h
Cool Kro,Ho gy
2nd.,Ha Cpp me kr rhw te..
Submit kr diya?,Fr python me kiya Ho gy
Achha Bdiya hai,😁
3rd hua?,Na..
Kro,Abhi ute h
Kb tk abhi uthe rhe ge Lgo bhai.. 🤣🤣,Are soo ke ute h
Okk,2 krne ki kosis rahigi aaj Dakho ky hota h
Cool,Minimize digit valla strt kr rhe h Tum?
Ha Wahi kr rhe,Ok 3 test case batao 11 13 valla 11+13*3=50.... 5+0=5 1+1=2
Kya,m Progrm kr liya ky
Kr rhe hai Logic building 11 + 13 + 13 = 37 Shivam tripathi ne btaya ye hoga And hi is quite correct,Ha.. ok 3 hua Tle aa rha h
Bhai. Jb free hona to call kr lena Mere me bal ni.,?
Sorry Abhi hm baat kr rhe the Agr free ho to call krna,Msg krdena
Kro,👍 Snak dwn ka qualifications kitna h
Pta ni bhai,Abhi aaya nhi na.. questions 7 se hi aayge sayd
Na 7 oclk se hai,Ok Kiye
kr rhe tumhara ho gya?,Na.. abhi movi dakh rhe te Ab jaa rhe h Krne
cool,😁 Kya memory errror h ky ye
bhai mera tle aya tha.,🙄
2 wale me 2 for lgaye the error kya thi?,Hme ak hi use kiya h Array liya h
ha array to hm bhi liye hai jisme news failani hai uski baat kr rhe?,Frst kr rha hu
achha wo ho gya.,Oh Ok Vector se kiya h ky
nops normal array.,Ok Bejo fr
reverse order me sort kra hai,😅
#include<bits/stdc++.h>,🤘🏻
change kr dena thoda bahut.,Ye mera h
na pta chle dono disqualify ho jaye,🤣
sorting kre ho?,na..
bina uske kaise kr doge?,o(n ) hh
wo team select kaise kro ge jo jiske respect me teams counts krni hai?,are arry me store kya and then last se count kr rhe h... array me count store h
jaise ki first me ar[1] kya aye ga tumaha 3 5 3 2 1,position hh element a[3]=2
no you can not do that.,a[2]=1 a[5]=1 a[1]=1
ar[1] btao,baki zero
bhai ye test case chl rha hai isk mtlb answer sahi hai kaise kh skte ho free ho to call krna.,Ye kaise hote h 🙄🤭 😁 chall gy
cool,Spread the world kr rhe ho
abhi ek launde ki mdad kr rhe uska pc bnd pd gya hai use dekh rhe,Ohk spread the world hua bhai
Abhi kre hi ni. Kre ge,fr se nhi kr rhe ky
Kya mtlb?,#include<bits/stdc++.h> kya error h isme spread the world h.... runtime error aa rhi h.... means koi elemrnt out of biund acces ho rha h check kiya?
Ha Bhai Ruko call krte hai abhi,Ok #include<bits/stdc++.h> 3 vale ka ye daakhne runtime error pta nhi kyo aa rhi h
I think at some point your a[i] is going out of bount Bound,No i Che ked ... Nothing found
Pkka sure ho?,Ha bhai Pta nhi.. runtime error kuyo aa rhi h 🙄
"#include<bits/stdc++.h> bhai ye sol^n dekho aur btao luchh ,mis kra hai hmne??",3 ka h?
where?,3 ka sol h?
ha,Are.. yaha bi ad 🤣
Ha bhai Sumit ne bheza,Oh 5 me bi runtime error
Achha Code bhezo Zra dekhte hai,#include<bits/stdc++.h>
Okk Let me see,yoo🤘 doctor sahb
Bhai call kro Agr hm glt btaye ho to bta dena Hme bhi Ki kya sahi logic hai,Nhi pucha hmne abhi Dakh rhe h.. saam ko baat karege
okk Bhau ab kro Sorry,Call pick karo
Bhai iska count fn smjh aya? Kya krne ki kosis kr rh hai ye,Ye pic me pura nhi h.. syd Hmm logo ko.. even numbers ko direct c me mult karna h
Hai to pura,Fact me hh kaha kutch Input kaha kiya h
Ha wahi to,Ha to adhura h abhi
Bhai pura hai Dhyan se dekho Else wale case me processing kr rha hai launda,Ha.. Fact ka kyo kr rha h Smj nhi aa rha
Ha smjhne ke kosis kr rhe,Ok Smj aay to batana
Okk 👍,😁
Smjh a rha,vo fact nikal rha h... even numbers ke dp use kr rha h.. jo nikal chuke h.. unko aage
Ni Ha,🤔
Exactly,?
Hm khana rhe hai To likhna kuchh aur cha rhe hai Aur likh kuch aur rha hai Tum sahi kh rhe ho,🤣 ok kaoo
???,khana kaoo
Khaoo,😓
Khna chahte ho?,🤩 #include<bits/stdc++.h> dakkho isko... ushi ke jaise kiya h..
glt a rha kya?,answer nhi aa rha...
achha answer print kaha kre ho? cout<<c ko comment kr rkhe ho,ha hta do... vo dakh rhe te kaha kya ho rha h
achha,st[] me vo count store kiye h... decending order of element ke hisab se baki dakhna agr kutch mille to
okk For ke ander ki if condition glt kre ho Use theek kro Wo mp[st[i]] hoga,Ok . Check krts hu
Ye hai code rahul ka Bhai call kro,sol bejo ... 5 ka
Okk,#include<bits/stdc++.h>
Else case dekho count ka Glt kre kre ho Fact[(n-1)/2] = hoga Minus ki jgh Chhoti se glti kre ho,😅 haa 😁 chall gy
Okk,#include<bits/stdc++.h> bhai isko dakho ho gy ....
3 hai,ha ho gy sab rank 1
3 hai?,ha..
Sahi chl rha hai? Fir hm copy kr de apne sbdo me Smjhana kl 🤣 😁,Look what i found in my gallery galaxy... Party 🙄
kya mtlb hai iska,Sarth lagi ti
kis baat ki party are yaar.,🤣
ye sb baate na kro abhi..,Yaad aa gy ta..
greeb admi hu paise kaha se lau ga,Kya ho gy.. paise nhi diye ky usne 🤔
Code bhi dikh rha hoga and output bhi.,Kya
11 ke bad me \n print ho rha hai Iska mtlb ye hai ki scanf phle ch rha hai cout se,haa
Ab is snc kaise hua,"ha, batao"
Ye hm kh rhe yaha ambiguety ho rhi hai na,cin.tie(NULL);..... flush off kr rhe h ios_base::sync_with_stdio(false);.... synchronisations off kr rhe h for making progra spedd fast and these are the side effects.... #include <iostream> are bhai pass ho tum bi... keval hmm hi..😨
Are isase koi frk ni pdta yaar.,😓
Isme mere bare me bahut achha acha likha hai,section..
To usSe kya hota Coputer programming me 99% hai Mere marks Ab tum btao,bahut sahi badiya h
Are bahut sahi ki kya baat hue? Sb frzi hota hai ye,section/..
?,div hoge to kutch nhi bhai.. section div hue to... alag ho jayge
Bhai tum coding wale me jao ge Hm englush wale me,are.. nhi
Hm mr jaye ge waha pr,coding ka nhi hota koi
#include <bits/stdc++.h> ye down to zero sahi hai kya? Isme tle hue ja rha hai.,bahi result store karo.. ak array me
Wahi to kr rhe Dekho na ar me store to kr rha hi,ar[x] print karo ge to result
Mtlb tum kh rhe ho ki hm phle hi sbko compute kr ke rkh le,isme bar bar calculate ho rha h yes
Okk Let me check what i can du,ok... karo https://www.hackerrank.com/hackathon2-0-csit?utm_campaign=social-buttons&utm_medium=twitter&utm_source=contest
Bhai tum apna soln bhezo Hm dekhna chahte hai Precomputation bhi to n^2 me ho rhi hai Ho ske to bhez dena,Ok.. kr ke bejte h
Kro mt Purana wal ni mile ga?,Na.. vo solved me nhi aata Kr dete h #include <bits/stdc++.h> #include <bits/stdc++.h>
Free ho? Ye kya kr rhe ho? Is prime ka kya mtlb hai? Bahi agr index hi fil krni thi to 2 loop use hi ku kre? Aur void call me tume 1D vector ko 2D ki trh access kr rhe ho ye code to compile bhi ni ho rha.,😅 Call krte h.. bhai todi derr me
Ok Bhai hm phone kre?,Bhai code bejj do.. ??
#include <bits/stdc++.h> ye lo abhi hmne fir se likha hai jra ise dekho koi error ni hai but wrong ho rha hai,Matlb? Answer nhi aa rha?
pta ni bhai na input le rha hai to output bhi ni de rha terminate ho ja rha,Ruko ch ek krte Bhai on kr rhe h Apna sansaar
ok dekho kya glti kr rha hu kuchh mila?,vahi kr rhe h.. segment falut aa rhi h
achha,array out of bound .. dakh rhe ..
array ko glt access kr rha hu ha wo hme bhi lg rha tha is_prime() function me hi issue hai,fact() gadnad h
fact me kya problem ho skti hai,usko comment karo... error nhi aa rhi
achha,fact me int x= value? intialize karo default.. iss liye error aa rhi h
ye koi baat ni hoti hai yar waise. achha check krta hu,hua?
submit kr ke dekhta hu waise kya lgta hai tle hoga?,error gai?
ha,call kr rha hu check karo
okk Wrong answer a rha hai,#include <bits/stdc++.h> run karo isko
#include <bits/stdc++.h> ye dekho hr ek answer match ho rha hai fir bhi output  wrong answer a rha hai hackerrank pr,😨 Bai aake kre..
okk ya sure mere ghr aao ge ? kya?,Mela.. jaa rhe Family meetup bhai 🤣
cool,Kya kiya?
kuchh ni fir se wahi submit kra aur chl gya #include <bits/stdc++.h> final code,Ok Precompute kiya h? Tabhi chalge
Ha queue wala logic soch rhe,Ok
Isme que kaise lge ga,Bhai 1a 9 se h na
Ha Ja rhe fifa khelne,👍 Pahla kiya k?
Ha kr rhe hai bhai Card wala hua?,This message was deleted This message was deleted Na.. karege abhi
Okk,Call kre
Kro,Kiya 2 #include<bits/stdc++.h> 2 sorted half me div kr kiya h then check first half length <=3
ho gya?,and a[0]<a[second half start ele]
complete,wa
okk mtlb ek hi swap perform krna hai?,wrong ans 😅
okk to sorted half nikal lo,This message was deleted 250 hh mohit arora ke
mtlb?,2.5 questions ho gy uske
2 full and 1 partial ho gye? sahi hai,Yes
nishad ke?,0
okk ku array of structure ko sort kasie krte hai intro sort se,"Sort(start,end , comp()) Comp(struct arr a, struct arr b)"
struct treep{ is struct ko sort krna hai on the basis of name1; treep type ka array bnaya hai use sort krna hai,Ak min
Okk,"https://stackoverflow.com/questions/2803071/c-sort-array-of-strings bool compare(string a, string b){ 2 hua?"
Na bhai Wo abhi ni kr rhw Tum socho aur kro,Ok
Ho jaye to btana,Nishad se batt hui?
Uska ph. Aya tha,?
But tb hm busy the to uthaya ni Fir jb hmne kra to usne ni uthaya,Karo .. or pucho.. 2 🤔
Ha puchhte hai Ye btao?,?
Ho online?,Bhai.. abhi..bhr h Family Meeting Saam ko discuss.... Krte h
Okk Sure,3 hua?
no sir,aage liya koi
1B kre ge Abhi utha hu,Ok
Closed ho gya,Ha
Yaar extreem bahut hi khtrnaak tha,Ieee  kasa hua?
Ek bhi question 💯% ni hua,Partial hua? Apne college se?
Ha hm log ni 6-7 kre Partial Aur partial ka mtlb 4.76 no,Badiya
Kisi me 10.3 marks,Pass hua
Ek 67 aur ek 41 mile,✌🏻👍
Bezzti pr hso ge??,Kya
Kuchh ni ❌ ??,?
🐐 🌪 ❓ So gye?,Nahi
To reply ni kr rhe? Kabhi ni dete sale Frze me khilwaya krte hai,🤣 Ha.. sahi kaha.. nhi dete
"/*Little Elephant was fond of inventing new games. After a lot of research, Little Elephant came to know that most of the animals in the forest were showing less interest to play the multi-player games.Little Elephant had started to invent single player games, and succeeded in inventing the new single player game named COIN FLIP. isme segment fault dhundo.",Dbms 9 ? Ho gai?
nops.,Kr lo
phla eco ka hai na.,Pahile ushi ka h Dbms
ye kisne kaha?,Dakho schedule
are yaar.,Padh lo.. abhi time h
tripathi ne kaha?,Ha Shivesh
okk abhi hm codechef kr rhe. ye code pd lo aur bta do baki hm dekhte hai hm kya skte hai.,Haan
webech me kaha se a rha hai?,Bhai servlet se syd
aishe mt bolo yaar bta do bhai kuchh ni ata awt se arha hai kya?,ha syd
isme kuchh smjh aye to bta do.,servlet pad lo
okk aplet arha hai?,pta nhi dakh lo
tumhe dikh rha hai? pta ni kya likha hai isme,agr time milla to abhi satrt kiya h Kyo
I can se thw quality drop in image around your ears,😨
Image looks like dragged a bit ❓,Now
Ab sahi hai Ye btao hmne phchana sahi tha na?,yes night ki h.. and blur ki vajh se ho gy hoga bhai tuhara name h.. ka ke coder round me.. psit vale me
Dikh to rha hai Pseudo ka name ni hai isme https://www.codechef.com/problems/MARCHA1,Kal aa rhe ho ?
Ha,Ok Snakdown kn se h? ? ?
Kl raat se 12 bze se Sone ja rhe kya?,Ok 🤨
Webtech me exp 6 likhe ho kya?,Na
Ye kya kr rhe ho? Inter chla rhe?? 😤 Sql query kro Sahi se baith ke Ye sb bnd kr do,Are dakho... Chapple ban kr rhe h Bhai pagal h ky
Internet chla ke kuchh ni mile ga Ye tumhe btana chahiye Na ki puchhna 2 is prime is a universal truth,Hh sale 😅
Similarly PSIT wale are pagal hai Ye bhi universal truth hai,🤣 ha
Sql queries kro ab.,😒 Are Sql pd rhe ho ky
Ha bhai,Kya hogy h bhai tumhe? 🙄
Hm ye kh rhe hai Sql ke bina kuchh hoga ni hm logo ka To achha ye hoga ki sql pd le,🤭
Ab bcha hua 1 mahina apne future ke liye sql pd le,Ml ka koi project banao ge Badd me time nhi mille ga ab
Sath me Ha Suru krte hai,Jaisa batao Ok
Kuchh real life ka problem uthate hai,Tripathi se batt kr lo
Aur us pr krte hai,Agr free hoto vo bi aa jay.. toda badda scale me ho jayga
Wo apne us wale project me lga hai Bady measurement me,Oh
Usko wo startup bna rha hai,"Puch lo ak bar ,"
Hm tumse kl project ke bare me baat krte hai,Bole naa badd me
Mere pass idea hai Ni bole ga Ha chlo kl baat kr lenge,Ok body motion or face 3d model? or any thing else? Kitne hua
2 3 ka treeka soch rhe Live ho?,Ok Yes live
3 ka treeka mila?,wait in quee kr rhe h
Achha Hm call kr rhe?,ha Hua
WA,Hoga aise hi
Logic to shi lg rha hai,Dakho net me
Tle ni hua ek bar bhi,Ab tle kyo hoga
Dekh rhe sochte hai jra,Hua
Na bhai tumse?,Hmm wait wall kr rhe h Jaldi karo 700 ho chuke h
Ha,Nisad ke hue
Pta ni? Kuchh nya mila?,Nahi hua
Koi idea mila,5 dakho Sahi lagg rha h..
Achha,Aage hua koi
nops abhi koi bhi idea ni aya hai.,Iss bar bi nikal nhi payga lagta h 😅
lge rho result kl 12 bze declair hoga,Are baki 3 me agr 1500+ ho gy to katam
khud abhi na kro result declair. ha pta hai. lekin kya effort ni kro ge is wjh se tpn 5 kr rha hai.,Baki hogy? Uske
nops 1 & 2 hue hai,Ok #include<bits/stdc++.h> wait vale ka code h check do
kya wa a rha hai?,"test case me run kr rhe h,, but WA aa rha h"
